dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1850-07-01;17,631;1,121;Abakan;Russia;53.84N;91.36E
1850-08-01;16,231;2,747;Abakan;Russia;53.84N;91.36E
1850-09-01;8,03;1,117;Abakan;Russia;53.84N;91.36E
1850-10-01;-3,513;2,969;Abakan;Russia;53.84N;91.36E
1850-11-01;-13,302;2,054;Abakan;Russia;53.84N;91.36E
1850-12-01;-15,712;4,725;Abakan;Russia;53.84N;91.36E
1851-01-01;-21,176;1,597;Abakan;Russia;53.84N;91.36E
1851-02-01;-17,018;1,596;Abakan;Russia;53.84N;91.36E
1851-03-01;-11,832;1,928;Abakan;Russia;53.84N;91.36E
1851-04-01;-3,963;5,41;Abakan;Russia;53.84N;91.36E
1851-05-01;8,104;2,874;Abakan;Russia;53.84N;91.36E
1851-06-01;15,395;2,428;Abakan;Russia;53.84N;91.36E
1851-07-01;18,999;1,539;Abakan;Russia;53.84N;91.36E
1851-08-01;16,379;1,691;Abakan;Russia;53.84N;91.36E
1851-09-01;6,386;2,81;Abakan;Russia;53.84N;91.36E
1851-10-01;-0,506;1,205;Abakan;Russia;53.84N;91.36E
1851-11-01;-15,078;5,166;Abakan;Russia;53.84N;91.36E
1851-12-01;-15,996;2,934;Abakan;Russia;53.84N;91.36E
1852-01-01;-21,013;1,629;Abakan;Russia;53.84N;91.36E
1852-02-01;-21,39;3,321;Abakan;Russia;53.84N;91.36E
1852-03-01;-10,782;1,665;Abakan;Russia;53.84N;91.36E
1852-04-01;1,22;2,509;Abakan;Russia;53.84N;91.36E
1852-05-01;9,576;1,216;Abakan;Russia;53.84N;91.36E
1852-06-01;14,598;1,226;Abakan;Russia;53.84N;91.36E
1852-07-01;19,563;1,942;Abakan;Russia;53.84N;91.36E
1852-08-01;13,972;1,666;Abakan;Russia;53.84N;91.36E
1852-09-01;8,319;1,008;Abakan;Russia;53.84N;91.36E
1852-10-01;0,259;2,123;Abakan;Russia;53.84N;91.36E
1852-11-01;-13,281;3,727;Abakan;Russia;53.84N;91.36E
1852-12-01;-14,232;3,953;Abakan;Russia;53.84N;91.36E
1853-01-01;-26,123;5,091;Abakan;Russia;53.84N;91.36E
1853-02-01;-22,447;4,523;Abakan;Russia;53.84N;91.36E
1853-03-01;-11,624;1,768;Abakan;Russia;53.84N;91.36E
1853-04-01;-3,146;3,144;Abakan;Russia;53.84N;91.36E
1853-05-01;7,427;2,946;Abakan;Russia;53.84N;91.36E
1853-06-01;15,702;1,209;Abakan;Russia;53.84N;91.36E
1853-07-01;18,765;1,056;Abakan;Russia;53.84N;91.36E
1853-08-01;15,554;1,613;Abakan;Russia;53.84N;91.36E
1853-09-01;9,2;1,606;Abakan;Russia;53.84N;91.36E
1853-10-01;-1,414;1,226;Abakan;Russia;53.84N;91.36E
