dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1772-09-01;13,394;3,924;Bern;Switzerland;47.42N;8.29E
1772-10-01;8,904;3,057;Bern;Switzerland;47.42N;8.29E
1772-11-01;4,257;6,414;Bern;Switzerland;47.42N;8.29E
1772-12-01;0,152;4,252;Bern;Switzerland;47.42N;8.29E
1773-01-01;-0,305;2,658;Bern;Switzerland;47.42N;8.29E
1773-02-01;-2,726;4,066;Bern;Switzerland;47.42N;8.29E
1773-03-01;1,46;2,164;Bern;Switzerland;47.42N;8.29E
1773-04-01;5,836;3,982;Bern;Switzerland;47.42N;8.29E
1773-05-01;10,818;4,045;Bern;Switzerland;47.42N;8.29E
1773-06-01;13,569;1,999;Bern;Switzerland;47.42N;8.29E
1773-07-01;14,434;2,37;Bern;Switzerland;47.42N;8.29E
1773-08-01;14,802;2,614;Bern;Switzerland;47.42N;8.29E
1773-09-01;12,846;2,222;Bern;Switzerland;47.42N;8.29E
1773-10-01;8,197;1,867;Bern;Switzerland;47.42N;8.29E
1773-11-01;2,674;7,738;Bern;Switzerland;47.42N;8.29E
1773-12-01;1,011;6,479;Bern;Switzerland;47.42N;8.29E
1774-01-01;-1,883;9,525;Bern;Switzerland;47.42N;8.29E
1774-02-01;-0,308;8,439;Bern;Switzerland;47.42N;8.29E
1774-03-01;4,161;2,828;Bern;Switzerland;47.42N;8.29E
1774-04-01;7,678;6,235;Bern;Switzerland;47.42N;8.29E
1774-05-01;10,813;2,731;Bern;Switzerland;47.42N;8.29E
1774-06-01;14,752;8,44;Bern;Switzerland;47.42N;8.29E
1774-07-01;15,608;8,217;Bern;Switzerland;47.42N;8.29E
1774-08-01;16,941;3,438;Bern;Switzerland;47.42N;8.29E
1774-09-01;11,561;3,809;Bern;Switzerland;47.42N;8.29E
1774-10-01;5,868;5,175;Bern;Switzerland;47.42N;8.29E
1774-11-01;-0,605;8,724;Bern;Switzerland;47.42N;8.29E
1774-12-01;-3,986;6,121;Bern;Switzerland;47.42N;8.29E
1775-01-01;-1,834;5,586;Bern;Switzerland;47.42N;8.29E
1775-02-01;2,021;5,219;Bern;Switzerland;47.42N;8.29E
1775-03-01;3,415;2,191;Bern;Switzerland;47.42N;8.29E
1775-04-01;5,668;1,21;Bern;Switzerland;47.42N;8.29E
1775-05-01;9,883;3,866;Bern;Switzerland;47.42N;8.29E
1775-06-01;15,605;5,857;Bern;Switzerland;47.42N;8.29E
1775-07-01;16,52;1,67;Bern;Switzerland;47.42N;8.29E
1775-08-01;15,818;1,854;Bern;Switzerland;47.42N;8.29E
1775-09-01;13,124;3,527;Bern;Switzerland;47.42N;8.29E
1775-10-01;7,342;3,929;Bern;Switzerland;47.42N;8.29E
1775-11-01;1,741;7,837;Bern;Switzerland;47.42N;8.29E
1775-12-01;-2,289;1,839;Bern;Switzerland;47.42N;8.29E
1776-01-01;-5,592;7,368;Bern;Switzerland;47.42N;8.29E
1776-02-01;0,47;4,646;Bern;Switzerland;47.42N;8.29E
1776-03-01;3,937;3,843;Bern;Switzerland;47.42N;8.29E
1776-04-01;6,736;1,236;Bern;Switzerland;47.42N;8.29E
1776-05-01;9,138;4,561;Bern;Switzerland;47.42N;8.29E
1776-06-01;14,479;3,532;Bern;Switzerland;47.42N;8.29E
1776-07-01;16,386;3,02;Bern;Switzerland;47.42N;8.29E
1776-08-01;15,953;4,854;Bern;Switzerland;47.42N;8.29E
1776-09-01;10,991;3,572;Bern;Switzerland;47.42N;8.29E
1776-10-01;6,907;3,325;Bern;Switzerland;47.42N;8.29E
1776-11-01;1,42;6,72;Bern;Switzerland;47.42N;8.29E
1776-12-01;-2,245;3,685;Bern;Switzerland;47.42N;8.29E
1777-01-01;-4,315;3,78;Bern;Switzerland;47.42N;8.29E
1777-02-01;-2,572;5,817;Bern;Switzerland;47.42N;8.29E
1777-03-01;4,376;2,38;Bern;Switzerland;47.42N;8.29E
1777-04-01;5,105;2,095;Bern;Switzerland;47.42N;8.29E
1777-05-01;10,092;4,115;Bern;Switzerland;47.42N;8.29E
1777-06-01;13,57;2,99;Bern;Switzerland;47.42N;8.29E
